[Sat Aug 15 13:23:41.030233 2015] [cgid:error] [pid 8129:tid 140047919597312] [client 127.0.0.1:60300] End of script output before headers: howto.py, referer: http://localhost:8084/
[Sat Aug 15 18:25:56.705518 2015] [cgid:error] [pid 8129:tid 140047894419200] [client 127.0.0.1:33006] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:25:56.705522 2015] [cgid:error] [pid 8128:tid 140047886026496] [client 127.0.0.1:33007] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:25:56.705585 2015] [cgid:error] [pid 8129:tid 140047860848384] [client 127.0.0.1:33008] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:25:59.245308 2015] [cgid:error] [pid 8128:tid 140047919597312] [client 127.0.0.1:33009] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:25:59.250022 2015] [cgid:error] [pid 8128:tid 140047818884864] [client 127.0.0.1:33010] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:25:59.250840 2015] [cgid:error] [pid 8128:tid 140047860848384] [client 127.0.0.1:33011] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:24.296620 2015] [cgid:error] [pid 8128:tid 140047844062976] [client 127.0.0.1:33012] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:24.300040 2015] [cgid:error] [pid 8128:tid 140047835670272] [client 127.0.0.1:33014] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:24.301889 2015] [cgid:error] [pid 8128:tid 140047852455680] [client 127.0.0.1:33013] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:26.295145 2015] [cgid:error] [pid 8129:tid 140047810492160] [client 127.0.0.1:33016] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:26.297877 2015] [cgid:error] [pid 8129:tid 140047869241088] [client 127.0.0.1:33015] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:26.299779 2015] [cgid:error] [pid 8128:tid 140048061433600] [client 127.0.0.1:33017] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:27.034842 2015] [cgid:error] [pid 8128:tid 140048069826304] [client 127.0.0.1:33020] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:27.037161 2015] [cgid:error] [pid 8128:tid 140047827277568] [client 127.0.0.1:33019] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:27.037155 2015] [cgid:error] [pid 8129:tid 140047844062976] [client 127.0.0.1:33018] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:31.396021 2015] [cgid:error] [pid 8128:tid 140047810492160] [client 127.0.0.1:33021] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:31.397127 2015] [cgid:error] [pid 8128:tid 140047802099456] [client 127.0.0.1:33022] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:31.399650 2015] [cgid:error] [pid 8128:tid 140048053040896] [client 127.0.0.1:33023] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:26:31.403361 2015] [cgid:error] [pid 8128:tid 140048078219008] [client 127.0.0.1:33024] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:27:07.464691 2015] [cgid:error] [pid 8128:tid 140047911204608] [client 127.0.0.1:33031] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:27:17.783841 2015] [cgid:error] [pid 8128:tid 140047869241088] [client 127.0.0.1:33033] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Sat Aug 15 18:27:45.347789 2015] [cgid:error] [pid 8128:tid 140047927990016] [client 127.0.0.1:33034] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Tue Aug 18 21:16:54.830668 2015] [cgid:error] [pid 1307:tid 139720034047744] [client 127.0.0.1:37466] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=joke+of+ages&topic_solution=how+do+you+do%3F&quit=
[Tue Aug 18 21:16:57.787694 2015] [cgid:error] [pid 1307:tid 139720025655040] [client 127.0.0.1:37467] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=joke+of+ages&topic_solution=how+do+you+do%3F&quit=
[Tue Aug 18 21:17:28.473730 2015] [cgid:error] [pid 1307:tid 139720017262336] [client 127.0.0.1:37469] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=mysql+issue&topic_solution=hello&quit=
[Tue Aug 18 21:18:53.150338 2015] [cgid:error] [pid 1307:tid 139720008869632] [client 127.0.0.1:37471] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=mysql+issue&topic_solution=hello&quit=
[Tue Aug 18 21:19:55.943374 2015] [cgid:error] [pid 1306:tid 139720067618560] [client 127.0.0.1:37476] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=mysql+issue&topic_solution=hello&quit=
[Tue Aug 18 21:20:17.471541 2015] [cgid:error] [pid 1307:tid 139719950120704] [client 127.0.0.1:37477] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=mysql+issue&topic_solution=hello&quit=
[Tue Aug 18 21:20:20.076881 2015] [cgid:error] [pid 1307:tid 139719941728000] [client 127.0.0.1:37478] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=mysql+issue&topic_solution=hello&quit=
[Wed Aug 19 00:57:34.373327 2015] [cgid:error] [pid 1306:tid 139720042440448] [client 127.0.0.1:37676] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=mysql+issue&topic_solution=hello&quit=
[Wed Aug 19 00:57:46.388366 2015] [cgid:error] [pid 1306:tid 139720034047744] [client 127.0.0.1:37677] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=mysql+issue&topic_solution=hello&quit=
[Thu Aug 20 04:31:27.985580 2015] [cgid:error] [pid 1306:tid 139720101189376] [client 127.0.0.1:40103] End of script output before headers: save.py, referer: http://localhost:8084/?topic_title=let%27s+go+fly+a+kit&topic_solution=hi+all&quit=
[Thu Aug 20 05:35:15.621662 2015] [cgid:error] [pid 1307:tid 139719992084224] [client 127.0.0.1:40209] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:35:19.072481 2015] [cgid:error] [pid 1307:tid 139719933335296] [client 127.0.0.1:40208] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:36:04.836919 2015] [cgid:error] [pid 1306:tid 139720059225856] [client 127.0.0.1:40216] End of script output before headers: howto.py, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:37:18.626299 2015] [cgid:error] [pid 1306:tid 139720034047744] (104)Connection reset by peer: [client 127.0.0.1:40219] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:37:18.667459 2015] [cgid:error] [pid 1306:tid 139720000476928] (104)Connection reset by peer: [client 127.0.0.1:40220] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:37:18.707332 2015] [cgid:error] [pid 1307:tid 139720084403968] (104)Connection reset by peer: [client 127.0.0.1:40218] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:37:18.748583 2015] [cgid:error] [pid 1307:tid 139720059225856] (104)Connection reset by peer: [client 127.0.0.1:40221] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:39:03.813244 2015] [cgid:error] [pid 1306:tid 139719975298816] (104)Connection reset by peer: [client 127.0.0.1:40224] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:39:03.856371 2015] [cgid:error] [pid 1306:tid 139719983691520] (104)Connection reset by peer: [client 127.0.0.1:40223] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:39:03.900112 2015] [cgid:error] [pid 1307:tid 139720025655040] (104)Connection reset by peer: [client 127.0.0.1:40222] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:39:03.936024 2015] [cgid:error] [pid 1306:tid 139719958513408] (104)Connection reset by peer: [client 127.0.0.1:40225] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:39:03.975439 2015] [cgid:error] [pid 1307:tid 139720017262336] (104)Connection reset by peer: [client 127.0.0.1:40226] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:39:57.859042 2015] [cgid:error] [pid 1306:tid 139720197814016] (104)Connection reset by peer: [client 127.0.0.1:40229] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:39:57.913026 2015] [cgid:error] [pid 1307:tid 139720008869632] (104)Connection reset by peer: [client 127.0.0.1:40228] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:39:57.950123 2015] [cgid:error] [pid 1306:tid 139720206206720] (104)Connection reset by peer: [client 127.0.0.1:40227] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:39:57.993507 2015] [cgid:error] [pid 1306:tid 139720101189376] (104)Connection reset by peer: [client 127.0.0.1:40230] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:39:58.038678 2015] [cgid:error] [pid 1306:tid 139720092796672] (104)Connection reset by peer: [client 127.0.0.1:40231] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:40:17.504971 2015] [cgid:error] [pid 1307:tid 139719975298816] (104)Connection reset by peer: [client 127.0.0.1:40234] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:40:17.558467 2015] [cgid:error] [pid 1306:tid 139720076011264] (104)Connection reset by peer: [client 127.0.0.1:40233] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:40:17.599048 2015] [cgid:error] [pid 1307:tid 139719950120704] (104)Connection reset by peer: [client 127.0.0.1:40232] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:40:17.637563 2015] [cgid:error] [pid 1307:tid 139719933335296] (104)Connection reset by peer: [client 127.0.0.1:40235] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:40:17.676986 2015] [cgid:error] [pid 1307:tid 139719941728000] (104)Connection reset by peer: [client 127.0.0.1:40236] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:44:13.302069 2015] [cgid:error] [pid 1307:tid 139720084403968] (104)Connection reset by peer: [client 127.0.0.1:40258] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:44:13.338910 2015] [cgid:error] [pid 1307:tid 139720059225856] (104)Connection reset by peer: [client 127.0.0.1:40257] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:44:13.374102 2015] [cgid:error] [pid 1307:tid 139720067618560] (104)Connection reset by peer: [client 127.0.0.1:40256] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:44:13.407599 2015] [cgid:error] [pid 1306:tid 139720050833152] (104)Connection reset by peer: [client 127.0.0.1:40259] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:44:13.442274 2015] [cgid:error] [pid 1307:tid 139720050833152] (104)Connection reset by peer: [client 127.0.0.1:40260] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:45:46.049736 2015] [cgid:error] [pid 1306:tid 139720017262336] (104)Connection reset by peer: [client 127.0.0.1:40263] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:45:46.068853 2015] [cgid:error] [pid 1306:tid 139719966906112] (104)Connection reset by peer: [client 127.0.0.1:40262] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:45:46.087011 2015] [cgid:error] [pid 1307:tid 139720000476928] (104)Connection reset by peer: [client 127.0.0.1:40261] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:45:46.102961 2015] [cgid:error] [pid 1306:tid 139720008869632] (104)Connection reset by peer: [client 127.0.0.1:40264] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:45:46.116917 2015] [cgid:error] [pid 1307:tid 139720034047744] (104)Connection reset by peer: [client 127.0.0.1:40265] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:45:48.562902 2015] [cgid:error] [pid 1307:tid 139719958513408] (104)Connection reset by peer: [client 127.0.0.1:40271] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:45:48.590597 2015] [cgid:error] [pid 1307:tid 139720206206720] (104)Connection reset by peer: [client 127.0.0.1:40269] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:45:48.606279 2015] [cgid:error] [pid 1307:tid 139719975298816] (104)Connection reset by peer: [client 127.0.0.1:40270] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:45:48.624890 2015] [cgid:error] [pid 1307:tid 139719950120704] (104)Connection reset by peer: [client 127.0.0.1:40272] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:45:48.646330 2015] [cgid:error] [pid 1306:tid 139719958513408] (104)Connection reset by peer: [client 127.0.0.1:40268] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:45:48.658703 2015] [cgid:error] [pid 1306:tid 139719941728000] (104)Connection reset by peer: [client 127.0.0.1:40267] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
[Thu Aug 20 05:45:48.680205 2015] [cgid:error] [pid 1307:tid 139719933335296] (104)Connection reset by peer: [client 127.0.0.1:40273] AH02550: Failed to flush CGI output to client, referer: http://localhost:8084/?topic_title=&topic_solution=&quit=
